Date,Description,Original Description,Category,Amount,Status
2025-05-15,"DUNKIN #352872 Q35               051525","DUNKIN #352872 Q35               051525",Category Pending,-17.23,Pending
2025-05-15,"PANDORA*INTERNET RAD             051525","PANDORA*INTERNET RAD             051525",Category Pending,-11.31,Pending
2025-05-16,"PY *ZIGGIS  FREDERIC             051625","PY *ZIGGIS  FREDERIC             051625",Category Pending,-27.03,Pending
2025-05-16,"Space Station                    051525","Space Station                    051525",Category Pending,-23.00,Posted
2025-05-16,"SQ *RED STAR VAPOR-L             051525","SQ *RED STAR VAPOR-L             051525",Category Pending,-24.99,Pending
2025-05-15,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-60.00,Posted
2025-05-15,"FREDDY'S 11-0009         THORNTON     CO","FREDDY'S 11-0009         THORNTON     CO",Category Pending,-41.60,Posted
2025-05-15,"KING SOOPERS FUE 7040 E  THORNTON     CO","KING SOOPERS FUE 7040 E  THORNTON     CO",Category Pending,-29.62,Posted
2025-05-14,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-13.83,Posted
2025-05-14,"AMAZON PRIME*NI3OE7RS0   Amzn.com/billWA","AMAZON PRIME*NI3OE7RS0   Amzn.com/billWA",Category Pending,-7.97,Posted
2025-05-14,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,614.17,Posted
2025-05-12,"SQ *RED STAR VAPOR-LONG  Longmont     CO","SQ *RED STAR VAPOR-LONG  Longmont     CO",Category Pending,-24.99,Posted
2025-05-12,"Zelle: Justin","Zelle: Justin",Category Pending,-23.00,Posted
2025-05-12,"BURGER KING #17340       FIRESTONE    CO","BURGER KING #17340       FIRESTONE    CO",Category Pending,-18.61,Posted
2025-05-12,"USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR",Category Pending,40.00,Posted
2025-05-09,"WM SUPERCENTER # 2285 E  LONGMONT     CO","WM SUPERCENTER # 2285 E  LONGMONT     CO",Category Pending,-57.36,Posted
2025-05-09,"AMAZON MKTPL*NW43Q8LQ2   Amzn.com/billWA","AMAZON MKTPL*NW43Q8LQ2   Amzn.com/billWA",Category Pending,-31.32,Posted
2025-05-09,"MILE HIGH VAPING MELODY  WESTMINSTER  CO","MILE HIGH VAPING MELODY  WESTMINSTER  CO",Category Pending,-26.06,Posted
2025-05-09,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-8.97,Posted
