Date,Description,Original Description,Category,Amount,Status
2025-05-16,"BRUNTZ TOOLS LLC                 051625","BRUNTZ TOOLS LLC                 051625",Category Pending,-50.00,Pending
2025-05-16,"APEX PARK AND RECREA             051625","APEX PARK AND RECREA             051625",Category Pending,-28.00,Pending
2025-05-16,"PY *ZIGGIS  FREDERIC             051625","PY *ZIGGIS  FREDERIC             051625",Category Pending,-27.03,Pending
2025-05-16,"SQ *RED STAR VAPOR-LONG  Longmont     CO","SQ *RED STAR VAPOR-LONG  Longmont     CO",Category Pending,-24.99,Posted
2025-05-16,"Space Station            Longmont     CO","Space Station            Longmont     CO",Category Pending,-23.00,Posted
2025-05-16,"DUNKIN #352872 Q35       WESTMINSTER  CO","DUNKIN #352872 Q35       WESTMINSTER  CO",Category Pending,-17.23,Posted
2025-05-16,"PANDORA*INTERNET RADIO   PDORA.COM/BILCA","PANDORA*INTERNET RADIO   PDORA.COM/BILCA",Category Pending,-11.31,Posted
2025-05-16,"ATM REBATE","ATM REBATE",Category Pending,3.00,Posted
2025-05-15,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-60.00,Posted
2025-05-15,"FREDDY'S 11-0009         THORNTON     CO","FREDDY'S 11-0009         THORNTON     CO",Category Pending,-41.60,Posted
2025-05-15,"KING SOOPERS FUE 7040 E  THORNTON     CO","KING SOOPERS FUE 7040 E  THORNTON     CO",Category Pending,-29.62,Posted
2025-05-14,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-13.83,Posted
2025-05-14,"AMAZON PRIME*NI3OE7RS0   Amzn.com/billWA","AMAZON PRIME*NI3OE7RS0   Amzn.com/billWA",Category Pending,-7.97,Posted
2025-05-14,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,614.17,Posted
2025-05-12,"SQ *RED STAR VAPOR-LONG  Longmont     CO","SQ *RED STAR VAPOR-LONG  Longmont     CO",Category Pending,-24.99,Posted
2025-05-12,"Zelle: Justin","Zelle: Justin",Category Pending,-23.00,Posted
2025-05-12,"BURGER KING #17340       FIRESTONE    CO","BURGER KING #17340       FIRESTONE    CO",Category Pending,-18.61,Posted
2025-05-12,"USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR",Category Pending,40.00,Posted
2025-05-09,"WM SUPERCENTER # 2285 E  LONGMONT     CO","WM SUPERCENTER # 2285 E  LONGMONT     CO",Category Pending,-57.36,Posted
2025-05-09,"AMAZON MKTPL*NW43Q8LQ2   Amzn.com/billWA","AMAZON MKTPL*NW43Q8LQ2   Amzn.com/billWA",Category Pending,-31.32,Posted
2025-05-09,"MILE HIGH VAPING MELODY  WESTMINSTER  CO","MILE HIGH VAPING MELODY  WESTMINSTER  CO",Category Pending,-26.06,Posted
2025-05-09,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-8.97,Posted
2025-05-08,"DONALD BAXTER MATCO      720-205-3357 CO","DONALD BAXTER MATCO      720-205-3357 CO",Category Pending,-50.00,Posted
2025-05-08,"MCDONALD'S F39651        THORNTON     CO","MCDONALD'S F39651        THORNTON     CO",Category Pending,-12.58,Posted
2025-05-07,"SONIC DRIVE IN #5255     DENVER       CO","SONIC DRIVE IN #5255     DENVER       CO",Category Pending,-18.36,Posted
2025-05-07,"BS AMER TIRE OPS ACTIVE     ***********","BS AMER TIRE OPS ACTIVE     ***********",Category Pending,648.73,Posted
2025-05-06,"DUTCH BROS CO1301 WESTM  WESTMINSTER  CO","DUTCH BROS CO1301 WESTM  WESTMINSTER  CO",Category Pending,-7.11,Posted
2025-05-05,"Zelle: Clayton","Zelle: Clayton",Category Pending,-338.00,Posted
2025-05-05,"KING SOOPERS FUE 7040 E  THORNTON     CO","KING SOOPERS FUE 7040 E  THORNTON     CO",Category Pending,-26.49,Posted
2025-05-05,"Zelle: Justin","Zelle: Justin",Category Pending,-15.00,Posted
2025-05-05,"DUTCH BROS CO0305 THORN  THORNTON     CO","DUTCH BROS CO0305 THORN  THORNTON     CO",Category Pending,-7.11,Posted
2025-05-05,"TACO BELL 723306         THORNTON     CO","TACO BELL 723306         THORNTON     CO",Category Pending,-6.50,Posted
